,company_name,sector,mkt_cap,nse_beta,bse_beta,face_value,eps,pe,sector_pe,book_value_per_share,pb_ratio,pc_ratio,dividend_yield,mc_essentials,company_financial_score,company_financials_comment,mc_insight,rev_growth,net_profit,operating_profit,rating_daily,rating_weekly,rating_monthly,bse_price,nse_price,bse_vol,nse_vol,broker1_name,broker1_date,broker1_recommendation,broker2_name,broker2_date,broker2_recommendation,broker3_name,broker3_date,broker3_recommendation,broker4_name,broker4_date,broker4_recommendation,broker5_name,broker5_date,broker5_recommendation,broker6_name,broker6_date,broker6_recommendation,broker7_name,broker7_date,broker7_recommendation,BUY,SELL,HOLD,date
0,A & M Febcon Ltd.,Miscellaneous,2,0.00,0.07,10,--,--,15.80,0.00,--,--,--,40% Pass,2,indicates Weak Financials,NA,2.6%,-84.7%,-26.0%,Neutral,Very Bearish,Bearish,1.61,,"15,116",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
1,A and M Jumbo Bags Ltd.,Miscellaneous,10,-0.44,0.00,10,--,--,46.17,10.17,0.96,--,--,43% Pass,4,indicates Weak Financials,NA,-,%,%,Very Bearish,Bearish,Bearish,,9.75,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
2,A B Infrabuild Ltd.,Infrastructure - General,7,-0.08,0.00,10,--,--,23.23,0.00,--,--,--,70% Pass,2,indicates Weak Financials,NA,-4.7%,154.1%,2.7%,Very Bearish,Very Bearish,Bearish,,6.15,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
3,A F Enterprises Ltd.,Miscellaneous,17,0.00,-0.04,10,--,--,47.39,0.00,--,--,--,47% Pass,5,indicates Average Financials,NA,113.9%,12.0%,%,Very Bullish,Very Bullish,Bullish,18.30,,75,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,0%,0%,14/05/2021  06:49:09
4,A Infrastructure Ltd.,Cement - Products & Building Materials,100,0.00,0.14,5,--,--,20.60,0.00,--,--,0.43,47% Pass,6,indicates Average Financials,Strong Performer:,14.1%,%,13.7%,Neutral,Bearish,Bullish,23.50,,20,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,10.00,NT*,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
6,A K Spintex Ltd.,Miscellaneous,12,0.00,-0.05,10,--,--,14.00,0.00,--,--,--,64% Pass,2,indicates Weak Financials,NA,6.2%,-3.2%,7.4%,Bearish,Bearish,Bullish,24.70,,700,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,0.00,NT*,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
8,A-1 Acid  Ltd.,Chemicals,104,0.00,0.11,10,--,--,55.83,0.00,--,--,--,64% Pass,5,indicates Average Financials,NA,8.1%,1.1%,%,Neutral,Bullish,Bullish,104.10,,"16,000",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
9,A.K.Capital Services Ltd.,Finance - General,254,0.00,0.81,10,98.98,3.89,47.39,971.29,0.40,3.51,1.56,73% Pass,8,indicates Strong Financials,Strong Performer:,-2.5%,-3.9%,-1.5%,Bullish,Very Bullish,Bullish,385.00,NT*,222,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
10,A2Z Infra Engineering  Ltd.,Power - Transmission & Equipment,84,0.68,0.58,10,--,--,28.11,22.42,0.22,-0.26,--,25% Pass,2,indicates Weak Financials,Weak Stock:,-11.0%,%,%,Very Bullish,Neutral,Bearish,4.80,4.80,"134,890","716,642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,0%,0%,14/05/2021  06:49:09
11,AAA Technologies Ltd Ltd.,Software,36,0.02,0.00,10,--,--,31.38,0.00,--,--,7.06,89% Pass,5,indicates Average Financials,NA,4.8%,201.7%,171.8%,Neutral,Neutral,Bullish,,42.50,,"6,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,1.00,NT*,300,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,0.49,NT*,18,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,0%,0%,14/05/2021  06:49:09
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,1.03,NT*,2,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,46.50,NT*,"2,674",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,0.90,NT*,990,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
17,Aakash Exploration Services Ltd.,Engineering - Heavy,152,0.10,0.00,10,--,--,10.21,0.00,--,--,--,75% Pass,6,indicates Average Financials,NA,26.3%,64.9%,31.7%,Very Bullish,Bullish,Bullish,,150.85,,"21,600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
18,Aamcol Tools Ltd.,Machine Tools,6,0.00,-0.01,10,--,--,29.49,0.00,--,--,--,38% Pass,3,indicates Weak Financials,NA,-0.1%,%,-23.4%,Very Bearish,Very Bearish,Bearish,40.25,NT*,25,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
19,Aananda Lakshmi Spinning Mills Ltd.,Textiles - Spinning - Cotton Blended,1,0.00,-0.23,10,--,--,19.20,0.00,--,--,--,31% Pass,2,indicates Weak Financials,NA,-36.3%,%,%,Neutral,Bullish,Bullish,4.76,,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
20,Aanchal Ispat Ltd.,Steel - Sponge Iron,10,0.00,0.44,10,--,--,17.05,0.00,--,--,--,45% Pass,2,indicates Weak Financials,NA,-15.0%,%,%,Very Bearish,Very Bearish,Bearish,5.06,,"5,682",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,0.00,NT*,0,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2021  06:49:09
