,company_name,sector,mkt_cap,nse_beta,bse_beta,face_value,eps,pe,sector_pe,book_value_per_share,pb_ratio,pc_ratio,dividend_yield,mc_essentials,company_financial_score,company_financials_comment,mc_insight,rev_growth,net_profit,operating_profit,rating_daily,rating_weekly,rating_monthly,bse_price,nse_price,bse_vol,nse_vol,broker1_name,broker1_date,broker1_recommendation,broker2_name,broker2_date,broker2_recommendation,broker3_name,broker3_date,broker3_recommendation,broker4_name,broker4_date,broker4_recommendation,broker5_name,broker5_date,broker5_recommendation,broker6_name,broker6_date,broker6_recommendation,broker7_name,broker7_date,broker7_recommendation,date
0,A & M Febcon Ltd.,Miscellaneous,0,0.00,0.06,0.00,--,--,0.00,--,--,--,--,50% Pass,2,indicates Weak Financials,NA,2.6%,-84.7%,-26.0%,Bullish,Bearish,Bearish,1.65,,"37,655",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
1,A and M Jumbo Bags Ltd.,Miscellaneous,10,-0.44,0.00,10.00,--,--,46.17,10.17,0.96,--,0.00,43% Pass,4,indicates Weak Financials,NA,-,%,%,Very Bearish,Bearish,Bearish,,9.75,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
2,A B Infrabuild Ltd.,Infrastructure - General,8,-0.08,0.00,10.00,--,--,23.23,--,0.00,--,0.00,70% Pass,2,indicates Weak Financials,NA,-4.7%,154.1%,2.7%,Very Bearish,Very Bearish,Bearish,,6.15,,"8,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
3,A F Enterprises Ltd.,Miscellaneous,0,0.00,-0.04,0.00,--,--,0.00,--,--,--,--,47% Pass,5,indicates Average Financials,NA,113.9%,12.0%,%,Very Bullish,Very Bullish,Bullish,18.30,,75,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
4,A Infrastructure Ltd.,Cement - Products & Building Materials,0,0.00,0.14,0.00,--,--,0.00,--,--,--,--,47% Pass,6,indicates Average Financials,Strong Performer:,14.1%,%,13.7%,Neutral,Bearish,Bullish,23.50,,328,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
5,A K S Credits Ltd.,Finance - Leasing & Hire Purchase,0,0.00,0.00,0.00,--,--,0.00,--,--,--,--,No Data Found,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,10.00,NT*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
6,A K Spintex Ltd.,Miscellaneous,0,0.00,-0.09,0.00,--,--,0.00,--,--,--,--,64% Pass,2,indicates Weak Financials,NA,6.2%,-3.2%,7.4%,Bearish,Neutral,Bullish,25.00,,"5,030",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
7,A P T Yarns Ltd.,Textiles - Spinning - Cotton Blended,0,0.00,0.00,0.00,--,--,0.00,--,--,--,--,No Data Found,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,0.00,NT*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
8,A-1 Acid  Ltd.,Chemicals,0,0.00,0.11,0.00,--,--,0.00,--,--,--,--,64% Pass,5,indicates Average Financials,NA,8.1%,1.1%,%,Neutral,Bullish,Bullish,104.15,,"48,000",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
9,A.K.Capital Services Ltd.,Finance - General,0,0.00,0.86,0.00,--,--,0.00,--,--,--,--,73% Pass,8,indicates Strong Financials,Strong Performer:,-2.5%,-3.9%,-1.5%,Bullish,Very Bullish,Bullish,383.05,NT*,496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2021  06:50:26
